Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12360,2021-11-15,-0.123489441,-0.091649837,-0.108096012,21,100
Market-Adjusted Model,12363,2021-11-15,-0.030581053,-0.011196838,-0.015187624,21,100
Market-Adjusted Model,12366,2021-11-15,-0.029637755,-0.013825467,-0.014244326,21,100
Market-Adjusted Model,12367,2021-11-15,-0.154411791,-0.114591178,-0.139018363,21,100
Market-Adjusted Model,12368,2021-11-15,-0.038603269,-0.024226145,-0.02320984,21,100
Market-Adjusted Model,12369,2021-11-15,0.0632004133,0.0821691023,0.0785938418,21,100
Market-Adjusted Model,12370,2021-11-15,-0.015383631,0.0024211594,9.7977582E-6,21,100
Market-Adjusted Model,12372,2021-11-15,-0.067758733,-0.041467474,-0.052365305,21,100
Market-Adjusted Model,12373,2021-11-15,-0.058992305,-0.040493556,-0.043598877,21,100
Market-Adjusted Model,12376,2021-11-15,-0.063074904,-0.048874391,-0.047681475,21,100
Market-Adjusted Model,12377,2021-11-15,-0.143025129,-0.124121562,-0.1276317,21,100
Market-Adjusted Model,12380,2021-11-15,0.0317459996,0.0528631461,0.0471394281,21,100
Market-Adjusted Model,12385,2021-11-15,-0.001543249,0.0160597574,0.0138501791,21,100
Market-Adjusted Model,12391,2021-11-15,-0.105145402,-0.091155667,-0.089751973,21,100
Market-Adjusted Model,12397,2021-11-15,-0.184818466,-0.182517008,-0.169425038,21,100
Market-Adjusted Model,12400,2021-11-15,-0.037615541,-0.018632039,-0.022222112,21,100
Market-Adjusted Model,12411,2021-11-15,-0.205955366,-0.205497227,-0.190561938,21,100
Market-Adjusted Model,12412,2021-11-15,-0.040173936,-0.025703997,-0.024780507,21,100
Market-Adjusted Model,12413,2021-11-15,-0.266144812,-0.287631791,-0.250751384,21,100
Market-Adjusted Model,12431,2021-11-15,0.0316144445,0.0478431719,0.047007873,21,100
Market-Adjusted Model,12437,2021-11-15,-0.038265286,-0.01779477,-0.022871857,21,100
Market-Adjusted Model,12442,2021-11-15,-0.017952488,0.0040022181,-0.00255906,21,100
Market-Adjusted Model,12443,2021-11-15,0.0002037063,0.0226100393,0.0155971348,21,100
Market-Adjusted Model,12447,2021-11-15,-0.058852713,-0.039767502,-0.043459284,21,100
Market-Adjusted Model,12448,2021-11-15,-0.030832516,-0.015437562,-0.015439088,21,100
Market-Adjusted Model,12449,2021-11-15,-0.162806667,-0.158822672,-0.147413239,21,100
Market-Adjusted Model,12452,2021-11-15,-0.004810581,0.0233867647,0.0105828471,21,100
Market-Adjusted Model,12453,2021-11-15,0.0011363061,0.0159636495,0.0165297346,21,100
Market-Adjusted Model,12457,2021-11-15,-0.055688617,-0.041115077,-0.040295188,21,100
Market-Adjusted Model,12461,2021-11-15,-0.041812483,-0.027129675,-0.026419055,21,100
Market-Adjusted Model,12462,2021-11-15,-0.031866292,-0.015989724,-0.016472864,21,100
Market-Adjusted Model,12463,2021-11-15,-0.012483025,0.0024644047,0.0029104036,21,100
Market-Adjusted Model,12472,2021-11-15,-0.073900693,-0.06111518,-0.058507265,21,100
Market-Adjusted Model,12473,2021-11-15,0.0098783094,0.0267015053,0.025271738,21,100
Market-Adjusted Model,12476,2021-11-15,-0.055606315,-0.037637792,-0.040212886,21,100
Market-Adjusted Model,12477,2021-11-15,0.0852313432,0.1023063898,0.1006247718,21,100
Market-Adjusted Model,12480,2021-11-15,0.0558558884,0.0695133297,0.0712493169,21,100
Market-Adjusted Model,12487,2021-11-15,0.0624338778,0.0764381097,0.0778273064,21,100
Market-Adjusted Model,12488,2021-11-15,-0.123809503,-0.100186844,-0.108416075,21,100
Market-Adjusted Model,12490,2021-11-15,-0.009825968,0.0059992266,0.0055674607,21,100
Market-Adjusted Model,12493,2021-11-15,-0.001597437,-0.020990377,-0.021130507,4,100
Market-Adjusted Model,12495,2021-11-15,-0.128500852,-0.097681826,-0.113107423,21,100
Market-Adjusted Model,12497,2021-11-15,-0.2698413,-0.290680295,-0.254447871,21,100
Market-Adjusted Model,12500,2021-11-15,-0.080459696,-0.050224059,-0.065066268,21,100
Market-Adjusted Model,12502,2021-11-15,-0.016336708,0.0029762367,-0.00094328,21,100
Market-Adjusted Model,12505,2021-11-15,-0.02312694,-0.006936011,-0.007733511,21,100
Market-Adjusted Model,12508,2021-11-15,-0.042563005,-0.028004194,-0.027169576,21,100
Market-Adjusted Model,12510,2021-11-15,0.0099482697,0.0259644847,0.0253416982,21,100
Market-Adjusted Model,12513,2021-11-15,-0.090668787,-0.075900933,-0.075275359,21,100
Market-Adjusted Model,12514,2021-11-15,-0.048296235,-0.033961829,-0.032902807,21,100
Market-Adjusted Model,12515,2021-11-15,-0.02268249,-0.003948688,-0.007289061,21,100
Market-Adjusted Model,12516,2021-11-15,-0.018856175,-0.003864731,-0.003462747,21,100
Market-Adjusted Model,12523,2021-11-15,-0.020768039,-0.004884784,-0.00537461,21,100
Market-Adjusted Model,12527,2021-11-15,-0.044871765,0.0303091491,-0.029478337,21,100
Market-Adjusted Model,12528,2021-11-15,-0.027104213,-0.011984452,-0.011710784,21,100
Market-Adjusted Model,12530,2021-11-15,0.0799079383,0.0956049501,0.0953013668,21,100
Market-Adjusted Model,12531,2021-11-15,0.183533508,0.2330227562,0.1989269365,21,100
Market-Adjusted Model,12533,2021-11-15,-0.003680336,0.0130325994,0.011713093,21,100
Market-Adjusted Model,12534,2021-11-15,-0.102987917,-0.091712201,-0.087594488,21,100
Market-Adjusted Model,12535,2021-11-15,-0.040796182,-0.025747052,-0.025402754,21,100
Market-Adjusted Model,12536,2021-11-15,-0.010018437,0.0057302338,0.0053749915,21,100
Market-Adjusted Model,12537,2021-11-15,-0.036107984,-0.02115638,-0.020714555,21,100
Market-Adjusted Model,12540,2021-11-15,-0.108447517,-0.089935616,-0.093054089,21,100
Market-Adjusted Model,12542,2021-11-15,-0.051236097,-0.03273588,-0.035842668,21,100
Market-Adjusted Model,12543,2021-11-15,0.0290224423,0.0443611219,0.0444158708,21,100
Market-Adjusted Model,12552,2021-11-15,-0.050664324,-0.03641921,-0.035270895,21,100
Market-Adjusted Model,12556,2021-11-15,-0.412163706,-0.445349452,-0.396770278,21,100
Market-Adjusted Model,12558,2021-11-15,-0.077014921,-0.063669082,-0.061621493,21,100
Market-Adjusted Model,12559,2021-11-15,0.518774703,0.497261927,0.5341681315,21,100
Market-Adjusted Model,12564,2021-11-15,-0.022688794,-0.007341056,-0.007295366,21,100
Market-Adjusted Model,12565,2021-11-15,-0.016852273,-0.001995817,-0.001458845,21,100
Market-Adjusted Model,12566,2021-11-15,-0.105000021,-0.091862782,-0.089606593,21,100
Market-Adjusted Model,12569,2021-11-15,-0.171597674,-0.164170157,-0.156204246,21,100
Market-Adjusted Model,12570,2021-11-15,0.0054215175,0.0235802983,0.020814946,21,100
Market-Adjusted Model,12573,2021-11-15,-0.259318208,-0.271846926,-0.24392478,21,100
Market-Adjusted Model,12577,2021-11-15,-0.104854364,-0.087208395,-0.089460936,21,100
Market-Adjusted Model,12578,2021-11-15,0.0341070818,0.0492138428,0.0495005104,21,100
Market-Adjusted Model,12579,2021-11-15,-0.204702636,-0.200963684,-0.189309207,21,100
Market-Adjusted Model,12582,2021-11-15,-0.045691199,-0.029108832,-0.030297771,21,100
Market-Adjusted Model,12583,2021-11-15,0.006503442,0.0261614412,0.0218968706,21,100
Market-Adjusted Model,12584,2021-11-15,-0.025128496,-0.010417644,-0.009735067,21,100
Market-Adjusted Model,12591,2021-11-15,-0.074082325,-0.059369835,-0.058688897,21,100
Market-Adjusted Model,12592,2021-11-15,-0.391652173,-0.461829866,-0.376258744,21,100
Market-Adjusted Model,12593,2021-11-15,-0.023340985,-0.007359528,-0.007947557,21,100
Market-Adjusted Model,12615,2021-11-15,0.0764872512,0.1059544529,0.0918806797,21,100
Market-Adjusted Model,12621,2021-11-15,-0.114494527,-0.102944767,-0.099101098,21,100
Market-Adjusted Model,12622,2021-11-15,-0.099297331,-0.088384736,-0.083903903,21,100
Market-Adjusted Model,12623,2021-11-15,-0.118861349,-0.10897633,-0.103467921,21,100
Market-Adjusted Model,12625,2021-11-15,-0.037609241,-0.022839316,-0.022215813,21,100
Market-Adjusted Model,12628,2021-11-15,-0.058203336,-0.042777686,-0.042809907,21,100
Market-Adjusted Model,12629,2021-11-15,-0.04641346,-0.02812591,-0.031020031,21,100
Market-Adjusted Model,12631,2021-11-15,-0.010139036,0.0046391564,0.0052543928,21,100
Market-Adjusted Model,12633,2021-11-15,0.0096045232,0.0244629157,0.0249979517,21,100
Market-Adjusted Model,12640,2021-11-15,-0.16153841,-0.151505115,-0.146144981,21,100
Market-Adjusted Model,12641,2021-11-15,0.0134831698,0.0462377341,0.0288765983,21,100
Market-Adjusted Model,12644,2021-11-15,0.0114318463,0.0286840972,0.0268252749,21,100
Market-Adjusted Model,12646,2021-11-15,-0.048794351,-0.033833654,-0.033400923,21,100
Market-Adjusted Model,12647,2021-11-15,-0.043568023,-0.028915385,-0.028174594,21,100
Market-Adjusted Model,12648,2021-11-15,-0.028275287,-0.011918644,-0.012881859,21,100
Market-Adjusted Model,12649,2021-11-15,-0.022602561,-0.003525511,-0.007209132,21,100
Market-Adjusted Model,12650,2021-11-15,-0.062530198,-0.048579066,-0.047136769,21,100
Market-Adjusted Model,12651,2021-11-15,-0.027031781,-0.011090922,-0.011638352,21,100
